,a49,a51,a12,a101,a10,a18,a17,a46,a38,a34,a5,a28,a43,a42,a11,a13,a20,a83,a47,a8,a16,a30,a45,a7,a14,a55,a60
VRSK,-0.006332260896664635,-3.7414772027014253e-19,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.568085623103011e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-1.3976239617209781e-05,0.0,0.0,0.0
CHKP,-0.009357657309722416,-2.326310298792065e-18,6.716694218945577e-06,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-4.3324829396509483e-07,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-1.4251824195682098e-06,0.0,0.0,-0.0
ANSS,-0.003704907520891333,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.4142673421342992e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-3.47987697852446e-05,0.0,-0.0,0.0
SWKS,-0.009249426467304402,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.6575355873721374e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-2.7605276646125164e-05,0.0,-0.0,-0.0
CDW,-0.009201734768496589,-3.709654327210902e-18,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.0332542963736368e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-3.190295857609652e-05,-0.0,-0.0,0.0
TEAM,-0.005439937559744648,-1.1292645363030829e-18,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-8.128145222634926e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0001050976097992504,-0.0,-0.0,-0.0
WBA,-0.016693639462235708,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,3.7544283340380907e-06,-0.00014920113073496624,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,5.261787325442559e-06,0.0,0.0,-0.0
LULU,-0.003528685198321352,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-5.5332778509510646e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.00010315661828027814,-0.0,0.0,-0.0
PAYX,-0.014462151019178348,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,2.477319868565417e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.361721525735531e-06,-0.0,2.1297590060759626e-07,-0.0,-0.0,-0.0
VRSN,-0.0053833122634831644,-5.943504075241199e-18,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.605670450217637e-05,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.6503486400585676e-05,-0.0,-0.0,0.0
AEP,-0.011922008405428971,-8.283702633149349e-19,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-5.191620546009002e-06,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-6.2509302596915375e-06,-0.0,0.0,-0.0
ZBRA,-0.004254154663696884,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-3.747811720628124e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.283196145031638e-05,-0.0,-0.0,0.0
TCOM,-0.026500872265516597,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,8.639466083256069e-06,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-8.296636301172532e-06,-0.0,0.0,-0.0
NTES,-0.01431987726229954,-1.72733240117395e-18,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.336143420769349e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-4.9540934367444585e-05,-0.0,-0.0,-0.0
BMRN,-0.010877680096564653,-0.0,3.254214272929205e-05,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-5.174301536392738e-06,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-8.050802599165406e-06,0.0,-0.0,-0.0
